time,GEN1:Vt,GEN1:delta,GEN1:omega,GEN1:P,GEN2:P,GEN3:P,GEN2:Vt,GEN2:delta,GEN3:delta,GEN2:omega,GEN3:omega,GEN4:delta,GEN5:delta,GEN6:delta,GEN7:delta,GEN8:delta,GEN9:delta,GEN10:delta
0.4,1.0310512921766515,0.3266243318287445,1.0025343256086106,2.499853643328545,6.146603331773185,7.004642063260997,0.9435906168341995,1.1507528523627208,1.1968749572039095,1.0009114992326338,1.0008881302850734,1.2817077506454777,1.3434873695983667,1.1680372295926575,1.315493349618616,1.2481909457248022,1.437818223227343,0.06527130793315986
0.41000000000000003,1.0309685133941497,0.3361712990051724,1.0025299192498403,2.5356873172993675,6.123216058315564,6.974465492044255,0.9440828177661119,1.153973569222015,1.2000036379669003,1.0008447196285637,1.0008202805366593,1.2875790025381186,1.3541831958295294,1.1751360292155355,1.3246722835157183,1.2552083291610456,1.4462706772847989,0.07037358327341661
0.42,1.0308929984307567,0.34568828831443166,1.002521275655075,2.5711716964502767,6.0984328958170035,6.9427356351038565,0.9446197409724578,1.156955124441996,1.2028902161367008,1.000782062265593,1.0007568937427918,1.293372249494436,1.364819367229314,1.182240832064912,1.333695016096145,1.2622671962186816,1.4546380419367682,0.07565187316567559
0.43,1.0308249424307259,0.3551594846525493,1.002508456006378,2.6061241166868507,6.07234855597563,6.909578549408259,0.9451982926704054,1.1597137524843444,1.2055521661862596,1.000723740352818,1.0006981680928162,1.2991007633362446,1.3753813520107208,1.1893518762216306,1.3425521987374804,1.269366849610029,1.4629161814412481,0.0811063932809216
0.44,1.0307645445834737,0.3645693714528265,1.0024915429115093,2.640365351672287,6.045062391538318,6.875125202271919,0.9458152762425708,1.1622664409925212,1.2080076530988877,1.0006699506179928,1.000644283410089,1.304777585822215,1.385854847984153,1.1964685222075246,1.3512352163209047,1.2765060254561478,1.471101166922399,0.08673716937574481
0.45,1.0307120102793788,0.3739028100251546,1.0024706398921894,2.673720557921423,6.016678305286252,6.839511281385313,0.9464674164954431,1.1646308663172895,1.2102754610544892,1.0006208725699128,1.000595400504079,1.3104154152105174,1.3962258481504983,1.2035892793855985,1.3597362185526787,1.283682902526209,1.4791892824724444,0.09254403895672145
0.46,1.030667552651102,0.3831451166166627,1.0024458707627626,2.706020190557496,5.987304616853354,6.802876952223443,0.9471513834555546,1.1668253263181505,1.2123749197662532,1.0005766677821757,1.0005516605555898,1.316026498085877,1.4064807032427589,1.2107118401177726,1.3680481464940546,1.2908951160184021,1.4871770306560708,0.09852665319116372
0.47000000000000003,1.030631393491561,0.39228213679223106,1.0024173789032567,2.7371008852610097,5.957053883920008,6.765366559873744,0.9478638154835817,1.1688686705437794,1.214325828616186,1.0005374792057495,1.0005131845427937,1.321622527238803,1.4166061809417412,1.217833121165333,1.3761647542758049,1.298139775758494,1.4950611374085094,0.10468447906240576
0.48,1.0306037635499787,0.4013003167501053,1.0023853264313571,2.766806301965015,5.926042675093615,6.7271282733458175,0.9486013414986326,1.1707802279241653,1.216148378767975,1.0005034305182392,1.0004800727160528,1.3272145463338803,1.4265895215279534,1.2249493117714991,1.3840806260070173,1.305413488661451,1.5028385563249906,0.11101680176721457
0.49,1.0305849022175992,0.41018677120654967,1.002349893278338,2.794987925910073,5.894391292616382,6.688313671490937,0.9493606021197772,1.1725797321381386,1.2178630734664195,1.0004746255180696,1.000452404129648,1.3328128620464301,1.4364184897684573,1.232055927827065,1.3917911879193323,1.312712385272484,1.510506472345578,0.11752272735221139
0.5,1.0305750566247074,0.41892934750409083,1.0023112761744952,2.8215058217727678,5.862223443912956,6.649077270748016,0.9501382695493659,1.1742872448517545,1.219490646763469,1.0004511475719804,1.0004302362385273,1.3384269642830713,1.4460814228736711,1.2391478714888986,1.399292715817355,1.3200321501766563,1.5180623048454105,0.12420118558540241
0.51,1.0305744801801975,0.4275166856203946,1.0022696875501278,2.846229336729722,5.829665861888866,6.609575996023657,0.9509310660427114,1.175923077054953,1.2210519809412017,1.0004330591242647,1.000413604568012,1.3440654550324362,1.4555672743945605,1.2462194955969395,1.40658233793351,1.3273680560409353,1.5255037101460822,0.13105093305807378
0.52,1.0305834305939823,0.4359382737791137,1.0022253543585686,2.8690377485174734,5.796847874797159,6.5699685970836175,0.9517357808310271,1.1775077087555796,1.2225680229312463,1.0004204012760658,1.0004025224640998,1.3497359863182585,1.4648656539650364,1.253264672218063,1.4136580333111353,1.3347150010294042,1.5328285834692095,0.1380705565114226
0.53,1.030602167430832,0.44418449939000004,1.002178516828224,2.8898208547998254,5.763900927387571,6.530415013862973,0.9525492853888705,1.179061707320573,1.2240597000577236,1.0004131934427782,1.0003969809315296,1.3554452076490748,1.4739668628273233,1.260276864634398,1.4205186258631395,1.3420675493113419,1.5400350603581483,0.1452584763813825
0.54,1.0306309492515886,0.45224669507312976,1.0021294271509706,2.908479500458315,5.73095805592269,6.491075695069581,0.9533685469633979,1.180605644783397,1.2255478354561269,1.0004114330971932,1.0003969485661903,1.3611987232777745,1.482861925109377,1.2672492020891009,1.4271637742750687,1.3494199743631081,1.5471215175982465,0.15261295055421892
0.55,1.0306700304039909,0.46011717955101666,1.0020783481146347,2.924926039776162,5.698153320470962,6.452110875345236,0.954190640310021,1.1821600144640705,1.227053063543288,1.0004150956054771,1.0004023715877226,1.3670010595010276,1.4915426148528745,1.2741745566037208,1.4335939579410044,1.3567663047482694,1.5540865736699607,0.1601320783246097
0.56,1.0307196575304043,0.4677892932225692,1.0020255516875909,2.939084730888384,5.665621198653758,6.413679817042349,0.9550127576072188,1.1837451472729512,1.2285957459331875,1.0004241341623987,1.0004131739773372,1.3728556421442097,1.5000014788177176,1.2810456211877523,1.439810459138355,1.3641003720461808,1.5609290887725218,0.1678138045471125
0.5700000000000001,1.0307800658635131,0.47525742826408335,1.0019713175637828,2.950892060316077,5.63349594571735,6.375940023360205,0.9558322165517034,1.1853811280912885,1.2301958882095023,1.0004384798314245,1.000429257724933,1.378764784292676,1.5082318551143001,1.2878549887723005,1.4458153416633555,1.3714158605873132,1.5676481644586542,0.17565592397118185
0.58,1.0308514753833884,0.48251705313448856,1.0019159316766821,2.960296995883742,5.601910926410188,6.3390464301517415,0.9566464666634039,1.1870877126401005,1.2318730579781276,1.0004580416944104,1.0004505031885889,1.3847296842460008,1.5162278877378845,1.294595231215501,1.451611426162974,1.378706358643982,1.5742431429230335,0.1836560857492518
0.59,1.0309340869103232,0.48956473139474155,1.0018596846908465,2.9672611668296787,5.570997924661801,6.303150584153746,0.9574530938572651,1.1888842452637807,1.233646304631193,1.0004827071146336,1.0004767695684202,1.390750433589004,1.5239845371003427,1.3012589777469932,1.4572022624109815,1.3859654107176906,1.5807136059887046,0.19181179810683424
0.6,1.0310280782073524,0.49639813478427963,1.0018028704798265,2.971758970450902,5.540886437474965,6.268399815704791,0.9582498233650886,1.1907895780657682,1.2355340812581408,1.0005123421158542,1.0005078954956703,1.396826035192691,1.531497586673245,1.3078389922419171,1.4625920987862076,1.393186570559109,1.5870593738366183,0.20012043316313574
0.61,1.0311336001645937,0.5030160505305996,1.001745784599192,2.973777605168166,5.511702959753393,6.234936414197184,0.9590345211150827,1.1928219918403429,1.2375541691391303,1.0005467918789914,1.00054369973675,1.4029544308805333,1.538763645872869,1.3143282487411265,1.4677858492194729,1.4003634545536325,1.5932805035236568,0.20857923189036387
0.62,1.031250773134438,0.5094183829010501,1.0016887227634086,2.9733170304446697,5.483570266991776,6.202896814561755,0.9598051936988965,1.1949991192470595,1.2397236052513243,1.000585881356855,1.000583982010782,1.4091325384213325,1.5457801493322905,1.320720004663212,1.472789057882423,1.4074897951044827,1.599377287334104,0.21718530919966086
0.63,1.0313796834824023,0.5156061490386098,1.0016319793351813,2.970389854534895,5.456606702853886,6.172410803014565,0.9605599870752585,1.197337870672355,1.242058613209527,1.0006294160062101,1.0006285239180477,1.4153562974399483,1.5525453527183566,1.3270078711851607,1.4776078618964525,1.41455949364637,1.6053502510084359,0.22593565914150773
0.64,1.0315203804131758,0.5215814691554466,1.001575845835718,2.9650211515688185,5.430925478661106,6.143600750107709,0.9612971841754773,1.199854363216525,1.2445745380492488,1.000677182635299,1.000677089975608,1.4216207237718375,1.5590583252622159,1.3331858803016399,1.4822489523431719,1.4215666729257674,1.6112001518915575,0.23482716020843766
0.65,1.031672873125301,0.5273475511893072,1.001520609484128,2.9572482099851363,5.406633991713113,6.1165808788330756,0.9620152015886773,1.2025638532335292,1.2472857852427435,1.0007289503637802,1.0007294287552762,1.4279199717271789,1.5653189391812599,1.3392485481077612,1.4867195338593924,1.4285057281887907,1.6169279770402496,0.2438565807280129
0.66,1.031837128341145,0.5329086700579133,1.0014665517738846,2.947120214805655,5.383833169171,6.091456575137958,0.9627125855134469,1.205480672836102,1.2502057643170397,1.0007844716909482,1.00078527411809,1.4342474036756279,1.5713278561780406,1.3451909338864851,1.4910272830994333,1.4353713769244838,1.622534941326606,0.2530205843342311
0.67,1.0320130682515516,0.5382701416754373,1.001413947093937,2.934697866687634,5.362616843959037,6.0683237477367244,0.9633880071673896,1.2086181707595953,1.2533468374177772,1.000843483667007,1.0008443465384491,1.4405956663137809,1.5770865112079828,1.3510086946192614,1.4951803063456863,1.4421587068199584,1.6280224855706913,0.2623157355058167
0.68,1.0322005689070084,0.5434382919225772,1.001363061401663,2.9200529410949634,5.343071168793461,6.047268243554871,0.964040257846769,1.2119886579550128,1.2567202731339842,1.0009057091611633,1.0009063545102,1.4469567729344,1.5825970937127634,1.3566981345770206,1.4991870965448337,1.4488632215942405,1.6333922747315535,0.271738505160236
0.6900000000000001,1.0323994590794578,0.5484204207875455,1.0013141509544201,2.903267791288852,5.325274074034084,6.028365324533876,0.9646682438250548,1.2156033582551036,1.2603362058671457,1.000970858219354,1.0009709960261313,1.4533221909795135,1.587862526520066,1.362256249687951,1.5030564900419108,1.4554808843898603,1.6386461961811547,0.28128527629270184
0.7000000000000001,1.032609519611255,0.5532247619193278,1.001267461105975,2.8844347991516965,5.3092947745866965,6.011679210867785,0.9652709812717498,1.219472364427447,1.264203600993354,1.0010386295035516,1.0010379601216288,1.4596829341287323,1.5928864426132572,1.3676807664185386,1.5067976232776081,1.4620081584151048,1.6437863580807728,0.29095234964992533
0.71,1.0328304832602777,0.5578604378567158,1.0012232251735917,2.8636557781212866,5.295193330570809,5.997262695047141,0.9658475913615996,1.2236045998954839,1.2683302260303406,1.001108711803801,1.0011069284726135,1.4660296581494718,1.597673159976305,1.3729701749450438,1.5104198897058008,1.4684420445454756,1.6488150878740326,0.30073594942889864
0.72,1.0330620350430442,0.5623374112167497,1.0011816633810147,2.8410413327271717,5.283020265916334,5.985156830363191,0.9663972957294189,1.228007786372792,1.2727226279821944,1.0011807856134476,1.0011775770373705,1.4723527597172645,1.6022276547201866,1.378123756433749,1.5139328971783674,1.4747801156101854,1.6537349309050247,0.3106322289915188
0.73,1.0333038130709042,0.5666664321442584,1.001142981882041,2.8167101793852702,5.272816248472686,5.975390696783356,0.9669194124076377,1.2326884176178912,1.2773861169939167,1.0012545247574176,1.0012495777314583,1.478642477401802,1.606555532697006,1.3831416042899634,1.517346426033009,1.4810205471085252,1.658548649164041,0.32063727658644453
0.74,1.033555409868059,0.5708589823401051,1.0011073718687984,2.790788433224344,5.2646118346121025,5.9679812463566,0.9674133523627072,1.237651739476927,1.2823247564060762,1.0013295980629056,1.0013226001245767,1.484888994007713,1.6106629998071844,1.3880246392777695,1.520670388106975,1.48716214412158,1.6632592201573293,0.33074712107009524
0.75,1.0338163741543533,0.5749272159994677,1.0010750087682718,2.763408865788857,5.258427280691243,5.962933229550991,0.967878616723157,1.2429017363400563,1.2875413592571059,1.001405671061432,1.0013963131480714,1.491082539458078,1.6145568312033691,1.3927746184547676,1.5239147868855907,1.4932043642070931,1.6678698358910689,0.34095773761926357
0.76,1.0340862130704995,0.5788838980030192,1.001046051530038,2.7347101384912573,5.254272423107956,5.960239203171258,0.9683147947669413,1.248441124094655,1.2930374912376301,1.0014824077109383,1.001470386801651,1.4972134934132144,1.618244339592117,1.3973941379085686,1.5270896789792059,1.4991473360892258,1.6723839019535647,0.3512650534282966
0.77,1.0343643948186407,0.582742339713201,1.0010206420075856,2.7048360166762118,5.252146628057027,5.959879619756928,0.968721562709255,1.2542713496150009,1.2988134800580102,1.0015594721263934,1.0015444938479023,1.50327248682697,1.621733342830979,1.4018866293243426,1.5302051371059224,1.5049918739804968,1.676805036673486,0.3616649533843013
0.78,1.0346503516869159,0.5865163327349299,1.000998904435024,2.673934569112716,5.2520388114550425,5.9618229976254025,0.9690986833049107,1.2603925967842122,1.3048684311474477,1.0016365303073105,1.001618311483302,1.5092505016575404,1.6250321310142637,1.4062563504552703,1.5332712147402092,1.5107394874002775,1.6811370703259898,0.3721532857142364
0.79,1.034943483422954,0.5902200810050738,1.0009809450004123,2.642157357653179,5.253927528873026,5.96602617000408,0.9694460062521894,1.2668037990003878,1.311200249560901,1.0017132518505862,1.0016915229746304,1.5151389679692888,1.6281494332355526,1.4105083696100529,1.5362979125695193,1.5163923863827993,1.6853840443527874,0.3827258675981545
0.8,1.0352431609179333,0.5938681315779203,1.0009668515163863,2.609658621694441,5.257781134689832,5.97243461099448,0.9697634693584756,1.2735026580754492,1.3178056679290673,1.0017893116372039,1.0017638192500087,1.5209298576860102,1.6310943842088919,1.4146485443135932,1.5392951468823701,1.521953481997557,1.689550210556748,0.39337849074319475
0.81,1.0355487301600241,0.5974753044746992,1.0009566931882221,2.57659446194928,5.263558009063243,5.980982835433696,0.9700511004025214,1.280485669392542,1.3246802802471656,1.0018643914815673,1.0018349004341849,1.5266157742842983,1.6338764909235237,1.4186834943382776,1.5422727199922772,1.5274263821362444,1.6936400302265395,0.40410692691319544
0.8200000000000001,1.0358595164135858,0.6010566219640574,1.0009505204789466,2.5431220278919584,5.271206850712068,5.9915948690688134,0.9703090196044408,1.2877481531463777,1.331818581260592,1.0019381817325614,1.0019044773181907,1.53219003774782,1.6365055994990603,1.4226205693437555,1.5452402927825135,1.5328153825526674,1.6976581731421951,0.41490693340903395
